usage_type,name,R,G,B,
1,מגורים,254,174,1,
2,מסחר והסעדה,255,50,125,
4,תעשיה ומלאכה,92,62,196,
6,חקלאות,84,64,31,
7,משרדים ותעשיות עתירות ידע,211,123,181,
8,מלונאות ובתי אירוח אחרים,201,238,132,
9,נופש וספורט,201,238,132,
10,מבני ציבור ודת,94,60,22,
11,פנאי ותרבות,201,238,132,
12,מוסדות חינוך,176,167,82,
13,מוסדות בריאות,94,60,22,
14,מבני חרום וכליאה,94,60,22,
15,"מבני תחבורה, מבני דרך ותדלוק",90,81,123,
16,"מבנים טכניים, תשתיות ושמירה",111,145,111,
30,מרפסת,7,130,187,
31,אחסנה,7,130,187,
32,מצללה,7,130,187,
33,חניה,7,130,187,
101,מרחב מוגן דירתי - שטח רצפה,196,214,215,
102,מרחב מוגן דירתי - שטח קירות,168,177,182,
103,מרחב מוגן קומתי / מוסדי / מקלט / מבנה שמירה,196,214,215,
104,מעלית,212,189,196,
105,מבואות וחדרי מדרגות,211,189,165,
106,קומת עמודים מפולשת ומקמרות,211,189,165,
107,מעברים לכלל הציבור,211,189,165,
108,מערכות טכניות ומבני שירות,246,211,227,
109,חדרי שירות משותפים,246,211,227,
110,מרפסת,148,238,223,
111,מרתף,248,210,223,
112,חניה,129,102,111,
113,עובי קירות,167,180,183,
114,"בליטות, גגונים וקירוי",145,230,194,
115,אחסנה,253,210,226,
116,מבני שמירה,196,214,215,
130,אחר מתוקף תכנית,212,189,196,
250,מרפסת זיזית,203,154,235,
252,שטח מרוצף לא מקורה,203,154,235,
255,מצללה,1,133,197,
256,בריכת שחיה,255,163,151,
257,"בליטות, גגונים וקירוי",191,173,198,
300,הורדה,255,255,255,
301,הריסה ופירוק,225,240,127,
302,חפירה,225,240,127,
